system:index,landcover,.geo
1_1_1_1_2_3,1,"{""type"":""Point"",""coordinates"":[88.8780005883837,28.103647286902216]}"
1_1_1_1_2_4,1,"{""type"":""Point"",""coordinates"":[88.86272272583487,28.105691463957758]}"
1_1_1_1_2_5,1,"{""type"":""Point"",""coordinates"":[88.72368864835684,28.13853581478823]}"
1_1_1_1_2_6,1,"{""type"":""Point"",""coordinates"":[88.7245469552416,28.137173451850128]}"
1_1_1_1_2_7,1,"{""type"":""Point"",""coordinates"":[88.63398875053352,28.13188725246593]}"
1_1_1_1_2_8,1,"{""type"":""Point"",""coordinates"":[88.62883890922492,28.13113033934068]}"
1_1_1_1_2_9,1,"{""type"":""Point"",""coordinates"":[88.64308680351203,28.127951245835803]}"
1_1_1_1_2_10,1,"{""type"":""Point"",""coordinates"":[88.61974085624641,28.10206083196691]}"
1_1_1_1_2_11,1,"{""type"":""Point"",""coordinates"":[88.63227213676399,28.100849431495174]}"
1_1_1_1_2_12,1,"{""type"":""Point"",""coordinates"":[88.63398875053352,28.098880876559477]}"
1_1_1_1_2_13,1,"{""type"":""Point"",""coordinates"":[88.20507783646106,28.221153589987097]}"
1_1_1_1_2_14,1,"{""type"":""Point"",""coordinates"":[88.26962251419543,28.222061120958436]}"
1_1_1_1_2_15,1,"{""type"":""Point"",""coordinates"":[88.27717561478137,28.223876159756703]}"
1_1_1_1_2_16,1,"{""type"":""Point"",""coordinates"":[88.33313722366809,28.22750614477123]}"
1_1_1_1_2_17,1,"{""type"":""Point"",""coordinates"":[88.18224531366339,28.225835545944193]}"
1_1_1_1_2_18,1,"{""type"":""Point"",""coordinates"":[88.20671616606624,28.09234383681044]}"
1_1_1_1_2_19,1,"{""type"":""Point"",""coordinates"":[88.21066437773617,28.09113232665101]}"
1_1_1_2_0,3,"{""type"":""Point"",""coordinates"":[88.7085820253404,28.032944993096827]}"
1_1_1_2_1,3,"{""type"":""Point"",""coordinates"":[88.70986948566755,28.031941157580867]}"
1_1_1_2_2,3,"{""type"":""Point"",""coordinates"":[88.71285210209211,28.02828560194473]}"
1_1_1_2_3,3,"{""type"":""Point"",""coordinates"":[88.71353874759993,28.02678925061159]}"
1_1_1_2_4,3,"{""type"":""Point"",""coordinates"":[88.51146208384043,27.98305047639113]}"
1_1_1_2_5,3,"{""type"":""Point"",""coordinates"":[88.51107584574228,27.98259569993164]}"
1_1_1_2_6,3,"{""type"":""Point"",""coordinates"":[88.51079689600473,27.981799836512526]}"
1_1_1_2_7,3,"{""type"":""Point"",""coordinates"":[88.50996004679209,27.980662878582162]}"
1_1_1_2_8,3,"{""type"":""Point"",""coordinates"":[88.5096381817103,27.980947119188507]}"
1_1_1_2_9,3,"{""type"":""Point"",""coordinates"":[88.50914465525156,27.9801891425735]}"
1_1_1_2_10,3,"{""type"":""Point"",""coordinates"":[88.50854384043222,27.979601707032714]}"
1_1_1_2_11,3,"{""type"":""Point"",""coordinates"":[88.5115479145289,27.98289888445106]}"
1_1_1_2_12,3,"{""type"":""Point"",""coordinates"":[88.50802885630137,27.97912796636271]}"
1_1_1_2_13,3,"{""type"":""Point"",""coordinates"":[88.49460072737244,28.004917891621933]}"
1_1_1_2_14,3,"{""type"":""Point"",""coordinates"":[88.49483676176575,28.004946309321006]}"
1_1_1_2_15,3,"{""type"":""Point"",""coordinates"":[88.49427886229066,28.004946309321006]}"
1_1_1_2_16,3,"{""type"":""Point"",""coordinates"":[88.49484749060181,28.005514661728228]}"
1_1_1_2_17,3,"{""type"":""Point"",""coordinates"":[88.51049821066488,27.98149098497947]}"
1_1_1_2_18,3,"{""type"":""Point"",""coordinates"":[88.50923220800985,27.98123516975759]}"
1_1_1_2_19,3,"{""type"":""Point"",""coordinates"":[88.50971500563253,27.98066668931419]}"
1_1_2_0,2,"{""type"":""Point"",""coordinates"":[88.11042661533091,28.284248046671486]}"
1_1_2_1,2,"{""type"":""Point"",""coordinates"":[88.11291570529673,28.284248046671486]}"
1_1_2_2,2,"{""type"":""Point"",""coordinates"":[88.11437482700083,28.283567796044395]}"
1_1_2_3,2,"{""type"":""Point"",""coordinates"":[88.11720723972056,28.282207281753124]}"
1_1_2_4,2,"{""type"":""Point"",""coordinates"":[88.11858053073618,28.281375847795843]}"
1_1_2_5,2,"{""type"":""Point"",""coordinates"":[88.11986799106333,28.28001530550007]}"
1_1_2_6,2,"{""type"":""Point"",""coordinates"":[88.12149877414438,28.28349221237313]}"
1_1_2_7,2,"{""type"":""Point"",""coordinates"":[88.11892385349009,28.285079458202947]}"
1_1_2_8,2,"{""type"":""Point"",""coordinates"":[88.11720723972056,28.28742249213606]}"
1_1_2_9,2,"{""type"":""Point"",""coordinates"":[88.11986799106333,28.290748000154093]}"
1_1_2_10,2,"{""type"":""Point"",""coordinates"":[88.12038297519419,28.288782939790185]}"
1_1_2_11,2,"{""type"":""Point"",""coordinates"":[88.12167043552134,28.287271330212484]}"
1_1_2_12,2,"{""type"":""Point"",""coordinates"":[88.12321538791392,28.28666668037199]}"
1_1_2_13,2,"{""type"":""Point"",""coordinates"":[88.12819356784556,28.278276809494603]}"
1_1_2_14,2,"{""type"":""Point"",""coordinates"":[88.12664861545298,28.27676505077064]}"
1_1_2_15,2,"{""type"":""Point"",""coordinates"":[88.2239663174783,28.406677700205787]}"
1_1_2_16,2,"{""type"":""Point"",""coordinates"":[88.2298028042947,28.402676332176632]}"
1_1_2_17,2,"{""type"":""Point"",""coordinates"":[88.23297853976834,28.40546975597094]}"
1_1_2_18,2,"{""type"":""Point"",""coordinates"":[88.2283436825906,28.415359394103888]}"
1_1_2_19,2,"{""type"":""Point"",""coordinates"":[88.22720161623009,28.38578913903284]}"
1_2_0,4,"{""type"":""Point"",""coordinates"":[88.64126189274602,28.24500968875404]}"
1_2_1,4,"{""type"":""Point"",""coordinates"":[88.6295889191132,28.2472023851152]}"
1_2_2,4,"{""type"":""Point"",""coordinates"":[88.63499625248723,28.241833979619845]}"
1_2_3,4,"{""type"":""Point"",""coordinates"":[88.63817198796086,28.2392630982133]}"
1_2_4,4,"{""type"":""Point"",""coordinates"":[88.64297850651555,28.238355713512465]}"
1_2_5,4,"{""type"":""Point"",""coordinates"":[88.64701254887395,28.23684338852746]}"
1_2_6,4,"{""type"":""Point"",""coordinates"":[88.78077850742991,28.320474545837545]}"
1_2_7,4,"{""type"":""Point"",""coordinates"":[88.73264652265546,28.298870343869265]}"
1_2_8,4,"{""type"":""Point"",""coordinates"":[88.70621067060468,28.297207729727912]}"
1_2_9,4,"{""type"":""Point"",""coordinates"":[88.89146967324183,28.341028382687835]}"
1_2_10,4,"{""type"":""Point"",""coordinates"":[88.88820810707972,28.32493654356872]}"
1_2_11,4,"{""type"":""Point"",""coordinates"":[88.91081845116649,28.379981637571134]}"
1_2_12,4,"{""type"":""Point"",""coordinates"":[88.91472374749218,28.382511363284912]}"
1_2_13,4,"{""type"":""Point"",""coordinates"":[88.92313515496288,28.382586876557752]}"
1_2_14,4,"{""type"":""Point"",""coordinates"":[88.92841374230419,28.382096039323066]}"
1_2_15,4,"{""type"":""Point"",""coordinates"":[88.9336923296455,28.379679576736688]}"
1_2_16,4,"{""type"":""Point"",""coordinates"":[88.8937021735486,28.31339424771845]}"
1_2_17,4,"{""type"":""Point"",""coordinates"":[88.8971783164319,28.31498104759929]}"
1_2_18,4,"{""type"":""Point"",""coordinates"":[88.89910950692263,28.31622780232409]}"
1_2_19,4,"{""type"":""Point"",""coordinates"":[88.82170042919839,28.31164065997715]}"
2_0,5,"{""type"":""Point"",""coordinates"":[88.59598637759487,27.708371600160365]}"
2_1,5,"{""type"":""Point"",""coordinates"":[88.59068041350625,27.70739073734648]}"
2_2,5,"{""type"":""Point"",""coordinates"":[88.58990793730996,27.70423715668142]}"
2_3,5,"{""type"":""Point"",""coordinates"":[88.58115320708535,27.705339020526914]}"
2_4,5,"{""type"":""Point"",""coordinates"":[88.57879286315224,27.707808674931254]}"
2_5,5,"{""type"":""Point"",""coordinates"":[88.58115320708535,27.710886166024544]}"
2_6,5,"{""type"":""Point"",""coordinates"":[88.56900457753993,27.710150060058403]}"
2_7,5,"{""type"":""Point"",""coordinates"":[88.57239488973475,27.7032730310946]}"
2_8,5,"{""type"":""Point"",""coordinates"":[88.56896166219569,27.7046028771315]}"
2_9,5,"{""type"":""Point"",""coordinates"":[88.57870344533778,27.704792853813693]}"
2_10,5,"{""type"":""Point"",""coordinates"":[88.56978363697544,27.718845737828634]}"
2_11,5,"{""type"":""Point"",""coordinates"":[88.56986946766392,27.722796668742937]}"
2_12,5,"{""type"":""Point"",""coordinates"":[88.56227345173374,27.724164265318777]}"
2_13,5,"{""type"":""Point"",""coordinates"":[88.56759495441929,27.727925067442968]}"
2_14,5,"{""type"":""Point"",""coordinates"":[88.56984540481929,27.734036742948856]}"
2_15,5,"{""type"":""Point"",""coordinates"":[88.57639312856456,27.737531317480183]}"
2_16,5,"{""type"":""Point"",""coordinates"":[88.5579395305421,27.739772344337403]}"
2_17,5,"{""type"":""Point"",""coordinates"":[88.594482470662,27.7383420194189]}"
2_18,5,"{""type"":""Point"",""coordinates"":[88.5963222598081,27.744305283621465]}"
2_19,5,"{""type"":""Point"",""coordinates"":[88.59482022275976,27.74229224366803]}"
